  1	あいうえお — Hiragana vowels
  2	First Mini Words — Apply, don't just memorize
  3	(untitled)
  4	かきくけこ — K-row
  5	K-row Words — First real words with か–こ
  6	Practice: K-row — Drill かきくけこ & K-words
  7	(untitled)
  8	G-row Words — First words with が–ご (かぎ, えいが, かいぎ…)
  9	(untitled)
 10	さしすせそ — S-row (し = shi)
 11	Known Kana Words — First reading experience
 12	S-row Words — Everyday words with さ–そ
 13	(untitled)
 14	ざじずぜぞ — Z-row: Dakuten of the S-row (じ = ji)
 15	Z-row Words — First words with ざ–ぞ (かぜ, かぞく, すうじ…)
 16	Practice Z-words — かぜ, かぞく, すずしい & more
 17	(untitled)
 18	たちつてと — T-row (ち = chi, つ = tsu)
 19	T-row Words — First words with た–と
 20	(untitled)
 21	だぢづでど — D-row: Dakuten of the T-row
 22	(untitled)
 23	Practice D-words — どこ, かど, だいがく & more
 24	なにぬねの — N-row
 25	N-row & Animals — ねこ, いぬ, なつ and more
 26	(untitled)
 27	はひふへほ — H-row (ふ = fu)
 28	H-row Words — はな, ひと, ほし and more
 29	Practice: H-row — Drill はひふへほ & H-words
 30	ばびぶべぼ — B-row: Dakuten of the H-row
 31	B-row Words — First words with ば–ぼ (そば, ぶた, ぼうし…)
 32	(untitled)
 33	ぱぴぷぺぽ — P-row: Handakuten of the H-row
 34	(untitled)
 35	P-row Practice — Sound to character, every option from the P-row
 36	Polite Phrases — Thanks, sorry & introducing yourself
 37	Review 2 — Speed review · 10 seconds per task
 38	まみむめも — M-row
 39	M-Words — まめ, みみ, むし and more
 40	(untitled)
 41	やゆよ — Y-row (only 3 characters)
 42	Y-Words — やま, ゆめ, よむ
 43	Practice: Y-row — Drill やゆよ & Y-words
 44	らりるれろ — R-row
 45	R-Words — りす, そら, よる
 46	(untitled)
 47	わをん — The final three: W-row + ん
 48	(untitled)
 49	Dakuten Words — でんわ, ぎんこう, だいがく & more
 50	Introductions — はじめまして & よろしく
 51	Hiragana Mega Quiz — All hiragana incl. dakuten · 10 seconds per task
 52	(untitled)
 53	Katakana Vowel Words — First words with ア–オ (アイ, エア)
 54	(untitled)
 55	カキクケコ — K-row
 56	(untitled)
 57	Practice: K-row — Drill カキクケコ & K-words
 58	ガギグゲゴ — Katakana G-row
 59	Katakana G-row Words — First words with ガ–ゴ (カギ, ケガ, ギガ…)
 60	(untitled)
 61	Practice: Katakana A, K & G — Drill アイウエオ・カキクケコ・ガギグゲゴ
 62	サシスセソ — S-row (シ = shi)
 63	Katakana S-row Words — First words with サ–ソ (ソロ, アイス, スイス…)
 64	(untitled)
 65	ザジズゼゾ — Katakana Z-row (ジ = ji)
 66	(untitled)
 67	Practice Z-words — ガス, アジア, ザイコ & more
 68	タチツテト — T-row (チ = chi, ツ = tsu)
 69	Katakana T-row Words — First words with タ–ト (テスト, テキスト, スタジオ…)
 70	(untitled)
 71	ダヂヅデド — Katakana D-row
 72	(untitled)
 73	Practice D-words — ドア, ガイド, ダイス & more
 74	Katakana Loanwords — Loanwords in Japanese
 75	Practice: Katakana S, Z, T & D — Drill サシスセソ・ザジズゼゾ・タチツテト・ダヂヅデド
 76	ナニヌネノ — N-row
 77	Katakana N-row Words — First words with ナ–ノ (ナイス, カナダ, テニス…)
 78	(untitled)
 79	Review 3 — Speed review · 10 seconds per task
 80	ハヒフヘホ — H-row (フ = fu)
 81	Katakana H-row Words — First words with ハ–ホ (ハイ, ヘイト…)
 82	(untitled)
 83	バビブベボ — Katakana B-row
 84	(untitled)
 85	Practice B-words — バス, ビザ, バナナ & more
 86	パピプペポ — Katakana P-row (Handakuten)
 87	Katakana P-row Words — First words with パ–ポ (パス, ピザ, ポスト…)
 88	(untitled)
 89	マミムメモ — M-row
 90	(untitled)
 91	Practice: M-row — Drill マミムメモ & M-words
 92	Katakana Everyday Words — Knife, mask and more
 93	Practice: Katakana H, B, P & M — Drill H/B/P/M kana + P-row and everyday loanwords
 94	ヤユヨ — Y-row
 95	Katakana Y-row Words — First words with ヤ・ユ・ヨ (ヨガ, マヨ, ヤク)
 96	(untitled)
 97	ラリルレロ — R-row
 98	(untitled)
 99	Practice: R-row — Drill ラリルレロ & R-words
100	ワヲン — The last Katakana
101	Katakana W- and ン Words — First words with ワ・ン (ワイン, メロン, アイロン…)
102	(untitled)
103	Katakana Dakuten Words — バス, ビール, ゲーム, ドア, パン
104	(untitled)
105	Katakana Mega Quiz — All katakana incl. dakuten · 10 seconds per task
106	Small っ/ッ — Double consonants
107	しゃ・ちゃ — Yōon: sha, shu, sho, cha, chu, cho
108	きゃ・にゃ・りゃ — Yōon: kya, nya, rya and more
109	Yōon Words — おちゃ, しゃしん and more
110	(untitled)
111	Long Vowels ー — コーヒー, ケーキ, ラーメン
112	Big Loanwords — チョコレート, ジュース...
113	Practice: Long Vowels & Loanwords — Drill コーヒー, チョコレート & co.
114	(untitled)
115	Kana Master Mega Quiz — All hiragana + katakana + dakuten + yōon · 10s per task
116	(untitled)
117	Numbers 6–10 + Kanji — roku–juu and 六七八九十
118	(untitled)
119	(untitled)
120	Counters — ～にん, ～こ: People & pieces
121	(untitled)
122	How old are you? — なんさいですか？ ＿さいです
123	What time is it? — いまなんじですか
124	Practice: Age & Time — Drill なんさい・なんじ
125	(untitled)
126	Counters Mega Quiz — All numbers, counters & time · 10s per task
127	これ・それ・あれ — This, that, that over there (by distance)
128	Practice: これ・それ・あれ — Drill by distance: this, that, that over there
129	(untitled)
130	Practice: ここ・そこ・あそこ — Places by distance + どこですか
131	Question Words — なに, だれ, どこ, いつ, どれ
132	Languages & Origin — にほんご, ドイツご, にほんじん
133	(untitled)
134	Unit 9 Review — Speed review · 10 seconds per task
135	Shopping & Ordering — いくらですか, ください
136	Home & Food — ただいま, いただきます and more
137	(untitled)
138	Getting Around — でんしゃ, えき, みぎ, ひだり
139	(untitled)
140	Everyday Review — Speed review · 10 seconds per task
141	KEEP GOING — Step by step.
